ANO;MES;SENADOR;TIPO_DESPESA;CNPJ_CPF;FORNECEDOR;DOCUMENTO;DATA;DETALHAMENTO;VALOR_DESPESA;COD_DOCUMENTO
2022;1;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;1;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;2;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;3;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;4;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;5;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;6;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;7;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;8;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;8;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;8;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;8;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;8;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;8;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;8;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;8;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;8;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;8;ALESSANDRO VIEIRA;Locomoção;null;null;null;null;null;null;null
2022;8;ALESSANDRO VIEIRA;Passagens aéreas;null;null;null;null;null;null;null
2022;9;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;9;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;9;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
2022;9;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;9;ALESSANDRO VIEIRA;Aquisição de material de consumo para uso no escritório político;null;null;null;null;null;null;null
2022;9;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;9;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;9;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;9;ALESSANDRO VIEIRA;Contratação de consultorias;null;null;null;null;null;null;null
2022;10;ALESSANDRO VIEIRA;Aluguel de imóveis para escritório político;null;null;null;null;null;null;null
